raj2000,dej2000,objid,fuvmag,e_fuvmag,nuvmag,e_nuvmag,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,target_separation (deg)
249.314948,7.183426,6378656398954203973,,,17.4184,0.0279,WASP-103,249.31490242687,7.18336379965,1.8332,-9.756,2.779,-40.26,7.68981031176869E-05
249.696954,64.558805,6378585956119742567,,,17.6569,0.0372,TOI-1269,249.69703929270500,64.55871639328830,5.77,-39.857,107.902,-33.7741,9.58836506229922E-05
251.117031,70.429825,6378656353854947723,,,19.1418,0.0939,TOI-1246,251.11648489958000,70.42963939049,5.8469,-47.814,81.831,-37.6889,2.60598938764736E-04
251.117031,70.429825,6370986153225487070,,,19.1418,0.0939,TOI-1246,251.11648489958000,70.42963939049,5.8469,-47.814,81.831,-37.6889,2.60598938764736E-04
251.117031,70.429825,6371725016449417838,,,19.1418,0.0939,TOI-1246,251.11648489958000,70.42963939049,5.8469,-47.814,81.831,-37.6889,2.60598938764736E-04
251.117031,70.429825,6377671188217333027,,,19.1418,0.0939,TOI-1246,251.11648489958000,70.42963939049,5.8469,-47.814,81.831,-37.6889,2.60598938764736E-04
252.425959,-19.543144,6385552478975298181,,,19.3466,0.104,K2-32,252.42608408298000,-19.542819827690000,6.3939,-16.662,-53.564,-1.8626,3.44938669527114E-04
252.425959,-19.543144,6385552478975298181,,,19.3466,0.104,K2-32,252.42608408298000,-19.542819827690000,6.3939,-16.662,-53.564,-1.8626,3.44938669527114E-04
252.425959,-19.543144,6387909813649543139,,,19.3466,0.104,K2-32,252.42608408298000,-19.542819827690000,6.3939,-16.662,-53.564,-1.8626,3.44938669527114E-04
252.425959,-19.543144,6374961966868336664,,,19.3466,0.104,K2-32,252.42608408298000,-19.542819827690000,6.3939,-16.662,-53.564,-1.8626,3.44938669527114E-04
252.469967,61.173569,6372499138133627174,,,17.6147,0.0322,TOI-1753,252.46984820235000,61.17352260798000,4.4279,-1.457,12.577,-18.5341,7.37097931775904E-05
253.186391,16.579918,6374997213517447604,19.2293,0.1179,14.5582,0.0074,TOI-2109,253.18633444455000,16.57995555083,3.7367,-8.314,-9.351,-19.72,6.59404314445338E-05
253.785526,20.491651,6374399017988657955,19.3032,0.1019,13.2133,0.0041,HD 152843,253.78481710478000,20.49133180415,9.1607,14.838,44.635,10.0,7.3677281415594E-04
253.785526,20.491651,6371162056830225833,19.3032,0.1019,13.2133,0.0041,HD 152843,253.78481710478000,20.49133180415,9.1607,14.838,44.635,10.0,7.3677281415594E-04
254.13062,44.302773,6370915797364115082,,,18.6508,0.0667,WASP-148,254.13058191309,44.302652402360000,4.0154,-13.243,-27.016,-4.03,1.23639594329403E-04
256.137977,56.842866,6375524921118818917,20.4041,0.2527,13.7592,0.0072,TOI-1437,256.13866634905,56.842636291840000,9.6674,10.799,-20.284,-22.1689,4.41496016162866E-04
256.27986,69.519336,6371478733358891027,,,20.366,0.1083,TOI-1244,256.28025160355,69.51937964708,9.7367,-56.272,-66.578,-33.7274,1.43802440694293E-04
256.346419,33.012051,6371338043115181303,,,19.8608,0.1032,HAT-P-18,256.34644795729,33.01248333381000,6.1863,-14.002,-36.751,-11.83,4.33015185559636E-04
256.537574,-10.412833,6371338043115181303,,,19.0207,0.0629,WASP-163,256.53755476236,-10.41298411165,3.8179,0.027,-5.359,-37.64,1.52291588258581E-04
256.610871,44.777161,6371338038822308802,19.7435,0.1333,14.2848,0.0073,HAT-P-67,256.6106700736,44.77696346432000,2.6869,9.541,-18.251,-1.67,2.43645516087689E-04
256.622872,68.843159,6375173094575702242,,,18.5654,0.0518,TOI-1346,256.62291457052,68.84291640334,8.7212,-20.053,89.812,-16.31,2.43082731468029E-04
256.622872,68.843159,6385728394391192313,,,18.5654,0.0518,TOI-1346,256.62291457052,68.84291640334,8.7212,-20.053,89.812,-16.31,2.43082731468029E-04
256.672193,67.871487,6385728394391192313,21.8657,0.3723,15.553,0.0119,TOI-1295,256.67228500998,67.87146627338,2.4656,-7.199,8.555,-18.2,4.03834958816699E-05
256.771503,70.238411,6371056548813213349,,,17.9724,0.039,TOI-1296,256.77090851508,70.23851018314,3.149,-21.139,-6.873,25.22,2.24138179882093E-04
256.843294,62.475562,6385552531586553069,21.8926,0.3831,15.1791,0.0098,TOI-4633,256.84331678090000,62.47583677786,10.5518,-23.038,-67.083,0.8957,2.74979459408245E-04
256.860478,68.865709,6385095128306943978,,,18.1369,0.0409,TOI-4582,256.86037671853,68.86562176567,2.6272,-20.031,1.053,-60.73,9.45693668018744E-05
256.98222,32.104354,6388015415084188332,,,13.6873,0.0049,TOI-2128,256.98262269376000,32.10548391106,27.2686,-161.884,-42.106,-10.543,0.0011802782007735300
257.328517,71.876393,6371373222118559091,21.2554,0.3857,14.5962,0.0097,TOI-1742,257.32853040904,71.8764001413,13.6947,24.385,63.236,-31.08,8.27021355710255E-06
258.223788,57.197815,6371197260531764560,,,18.2687,0.0569,TOI-1453,258.22383464385,57.19777816766,12.6763,-70.974,-0.085,-4.09,4.46669539101146E-05
258.223788,57.197815,6384426576918874516,,,18.2687,0.0569,TOI-1453,258.22383464385,57.19777816766,12.6763,-70.974,-0.085,-4.09,4.46669539101146E-05
259.017738,72.161695,6384426576918874516,21.1028,0.2759,14.7213,0.0089,TOI-1670,259.01733670743,72.16115934522,6.0224,-6.007,4.923,-10.09,5.49579784651299E-04
259.017738,72.161695,6381295196793997041,21.1028,0.2759,14.7213,0.0089,TOI-1670,259.01733670743,72.16115934522,6.0224,-6.007,4.923,-10.09,5.49579784651299E-04
260.116479,38.242394,6377460070171543081,19.2482,0.1042,13.9144,0.0059,HAT-P-14,260.11615900195,38.242196940260000,4.4473,2.35,-6.679,-20.417,3.19370572719863E-04
261.350729,52.789372,6380485928318667783,,,12.4966,0.0025,HD 158259,261.35023036706,52.79068607998,37.0177,-90.678,-49.702,13.495,0.0013482336077913200
261.375081,75.882203,6385130282614260875,,,19.3433,0.0978,TOI-2088,261.3752274204150,75.88228755504060,7.8636,-18.861,-1.86,-28.4,9.17881257975219E-05
263.758182,40.69474,6380626662585796683,20.0024,0.1808,14.0093,0.007,TOI-2145,263.75811155691000,40.69505775537,4.4202,-6.373,-3.467,-20.83,3.22212725931813E-04
264.263449,53.021147,6385200684644434890,,,16.6844,0.0145,WASP-150,264.26305030148000,53.02124510328,1.8305,-4.269,6.953,-53.69,2.59114374798363E-04
264.273567,25.731263,6388121007928903086,,,18.7628,0.0685,HAT-P-55,264.27347448563,25.731181674020000,1.9024,7.349,-8.096,-12.5,1.16445639565812E-04
264.30271,53.02573,6384637747575918937,,,23.0912,0.4802,TOI-2081,264.30306569556,53.0257032493,16.0495,-112.062,-31.754,-52.79,2.15601388275478E-04
